"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
3230.47998,3256.090088,3220.669922,3252,136381900,3252,2020-01-02,"^STI",NA,NA
3260.27002,3268.72998,3227.629883,3238.820068,193650300,3238.820068,2020-01-03,"^STI",-0.00405286961869622,-0.00405286961869622
3221.560059,3226.110107,3210.679932,3218.860107,154063200,3218.860107,2020-01-06,"^STI",-0.00616272611041513,-0.00616272611041513
3236.22998,3247.860107,3233.5,3247.860107,187657600,3247.860107,2020-01-07,"^STI",0.00900940054429022,0.00900940054429022
3211.280029,3245.889893,3193.310059,3245.889893,297723700,3245.889893,2020-01-08,"^STI",-0.000606619107686779,-0.000606619107686779
3262.719971,3262.719971,3243.100098,3247.47998,230734400,3247.47998,2020-01-09,"^STI",0.000489877060657395,0.000489877060657395
3252.659912,3261.280029,3246.620117,3255.949951,195969000,3255.949951,2020-01-10,"^STI",0.00260816727190427,0.00260816727190427
3259.439941,3267.969971,3248,3251.070068,211815300,3251.070068,2020-01-13,"^STI",-0.00149875860300042,-0.00149875860300042
3262.080078,3270.540039,3256.179932,3270.540039,270354000,3270.540039,2020-01-14,"^STI",0.00598878848894735,0.00598878848894735
3266.540039,3276,3252.02002,3256.97998,245144400,3256.97998,2020-01-15,"^STI",-0.00414612230344258,-0.00414612230344258
3256.830078,3280.360107,3255.629883,3278,270571600,3278,2020-01-16,"^STI",0.0064538376437917,0.0064538376437917
3282.850098,3283.889893,3269.98999,3281.030029,202760000,3281.030029,2020-01-17,"^STI",0.000924352959121411,0.000924352959121411
3280.949951,3283.060059,3270.800049,3280.090088,172691700,3280.090088,2020-01-20,"^STI",-0.000286477414620512,-0.000286477414620512
3271.560059,3275.149902,3232.98999,3247.169922,272436300,3247.169922,2020-01-21,"^STI",-0.0100363603184059,-0.0100363603184059
3242.600098,3258.959961,3240.169922,3253.929932,202913300,3253.929932,2020-01-22,"^STI",0.00208181590812351,0.00208181590812351
3251.840088,3259.899902,3231.370117,3234.560059,313846600,3234.560059,2020-01-23,"^STI",-0.00595276278370704,-0.00595276278370704
3235.360107,3242.5,3230.320068,3240.02002,192710800,3240.02002,2020-01-24,"^STI",0.00168800730251029,0.00168800730251029
3172.72998,3190.080078,3144.100098,3181.25,461901000,3181.25,2020-01-28,"^STI",-0.0181387829819644,-0.0181387829819644
3181.189941,3193.840088,3172.659912,3182.570068,207466100,3182.570068,2020-01-29,"^STI",0.000414952612966646,0.000414952612966646
3183.199951,3191.379883,3152.51001,3170.679932,246419300,3170.679932,2020-01-30,"^STI",-0.00373601703841575,-0.00373601703841575
3173.389893,3183.459961,3144.330078,3153.72998,283957200,3153.72998,2020-01-31,"^STI",-0.00534584138529182,-0.00534584138529182
3131.02002,3139.360107,3112.330078,3116.310059,240928600,3116.310059,2020-02-03,"^STI",-0.0118652900651945,-0.0118652900651945
3135.5,3166.709961,3132.51001,3156.570068,251277700,3156.570068,2020-02-04,"^STI",0.0129191281476397,0.0129191281476397
3163.669922,3203.040039,3156.860107,3200.129883,247570300,3200.129883,2020-02-05,"^STI",0.013799730106292,0.013799730106292
3215.370117,3231.969971,3206.919922,3231.550049,284410900,3231.550049,2020-02-06,"^STI",0.00981840336134887,0.00981840336134887
3214.179932,3219.800049,3170.570068,3181.47998,322500500,3181.47998,2020-02-07,"^STI",-0.0154941338493253,-0.0154941338493253
3142.469971,3173.320068,3137.810059,3163.149902,203859800,3163.149902,2020-02-10,"^STI",-0.00576149405786919,-0.00576149405786919
3168.149902,3195.5,3166.98999,3175.570068,233884800,3175.570068,2020-02-11,"^STI",0.00392651830763602,0.00392651830763602
3182.379883,3223.370117,3175.25,3223.370117,309948500,3223.370117,2020-02-12,"^STI",0.0150524308947479,0.0150524308947479
3230.280029,3232.899902,3211.870117,3220.090088,234275500,3220.090088,2020-02-13,"^STI",-0.00101757752940046,-0.00101757752940046
